Name,relation,type
格鲁曼F2F/F3F,InstanceOf,战斗机
NA-50/-68和P-64,InstanceOf,战斗机
苏-35/苏-37“侧卫-E”  全天候防空战斗机,InstanceOf,战斗机
歼-7系列战斗机,InstanceOf,战斗机
歼-8系列战斗机,InstanceOf,战斗机
歼-5战斗机,InstanceOf,战斗机
米格-29“支点”战斗机,InstanceOf,战斗机
MB-3,InstanceOf,战斗机
苏-24“击剑手”战斗轰炸机,InstanceOf,战斗机
歼-6系列战斗机,InstanceOf,战斗机
歼-9战斗机,InstanceOf,战斗机
苏-25改进型/苏-25TM/苏-39,InstanceOf,战斗机
J-10B战斗机,InstanceOf,战斗机
歼-7B/M型 战斗机,InstanceOf,战斗机
FW-190“百舌鸟”战斗机,InstanceOf,战斗机
歼-15战斗机,InstanceOf,战斗机
歼-12战斗机,InstanceOf,战斗机
ME-109战斗机,InstanceOf,战斗机
米格-25战斗机,InstanceOf,战斗机
T-50战斗机,InstanceOf,战斗机
歼-11B战斗机 ,InstanceOf,战斗机
歼-11BS战斗机 ,InstanceOf,战斗机
XF-88战斗机,InstanceOf,战斗机
J7W1震电战斗机,InstanceOf,战斗机
Ki-45屠龙/2式复座战斗机 ,InstanceOf,战斗机
Ar 68战斗机,InstanceOf,战斗机
J6K1 阵风 陆上战斗机,InstanceOf,战斗机
J1N1/2式夜间战斗机,InstanceOf,战斗机
J2M雷电局地战斗机,InstanceOf,战斗机
信天翁D．Ⅲ,InstanceOf,战斗机
A2N/90式舰上战斗机,InstanceOf,战斗机
Hs 124战斗机,InstanceOf,战斗机
J8M1秋水局地战斗机 ,InstanceOf,战斗机
A6M2-N/二式水上战斗机,InstanceOf,战斗机
Me 263战斗机,InstanceOf,战斗机
1MF/10式舰上战斗机,InstanceOf,战斗机
Bf 108台风式飞机,InstanceOf,战斗机
He100战斗机,InstanceOf,战斗机
Ki-201火龙战斗机,InstanceOf,战斗机
Ki-43隼/1式,InstanceOf,战斗机
He 219夜枭战斗机,InstanceOf,战斗机
Ho 229战斗机,InstanceOf,战斗机
J.I攻击机,InstanceOf,战斗机
He 51战斗机,InstanceOf,战斗机
92式战斗机,InstanceOf,战斗机
Ki-49吞龙轰炸机,InstanceOf,战斗机
S1A电光Denko夜间战斗机,InstanceOf,战斗机
Ta 152战斗机,InstanceOf,战斗机
J5N天雷双发重型战斗机,InstanceOf,战斗机
Me P.1101战斗机,InstanceOf,战斗机
Me 209战斗机,InstanceOf,战斗机
斯帕德S．Ⅶ,InstanceOf,战斗机
Me 210战斗机,InstanceOf,战斗机
J4M·极电（闪电）局地战斗机,InstanceOf,战斗机
ATD-X心神试验机,InstanceOf,战斗机
Me-262战斗机,InstanceOf,战斗机
A7M烈风战斗机,InstanceOf,战斗机
F-2战斗机,InstanceOf,战斗机
A1N三式舰上战斗机,InstanceOf,战斗机
MXY-7樱花特别攻击机,InstanceOf,战斗机
脉冲喷射发动机推进式自杀攻击机,InstanceOf,战斗机
He 112战斗机,InstanceOf,战斗机
NE-12B橘花攻击机,InstanceOf,战斗机
狂风战斗机,InstanceOf,战斗机
A6M零式战机,InstanceOf,战斗机
 N1K1-J 紫电局地战斗机,InstanceOf,战斗机
 A5M/96式舰载战斗机,InstanceOf,战斗机
Ta 183战斗机,InstanceOf,战斗机
F-15J战斗机,InstanceOf,战斗机
N1K4-J紫电改三二型试作机,InstanceOf,战斗机
Ki-44钟馗/2式单座战斗机,InstanceOf,战斗机
Me 265战斗机,InstanceOf,战斗机
89式舰上攻击机,InstanceOf,战斗机
Ki-61飞燕/三式战斗机,InstanceOf,战斗机
F-1战斗机,InstanceOf,战斗机
Ki-60试作战斗机,InstanceOf,战斗机
F-16XL战隼战斗机,InstanceOf,战斗机
Ki-27/97式战斗机,InstanceOf,战斗机
Me 329战斗机,InstanceOf,战斗机
Ki-64试作战斗机,InstanceOf,战斗机
九试单座战斗机,InstanceOf,战斗机
1MF10 七试舰上战斗机,InstanceOf,战斗机
Ki-84疾风/四式战斗机,InstanceOf,战斗机
Ki-83远距离战斗机,InstanceOf,战斗机
J1N1-S月光夜间战斗机 ,InstanceOf,战斗机
Ki-94-1高高度战斗机,InstanceOf,战斗机
雅克-38战斗机,InstanceOf,战斗机
Ki-93试作袭击机,InstanceOf,战斗机
米格-1战斗机,InstanceOf,战斗机
雅克-25战斗机,InstanceOf,战斗机
Ki-87试作高高度战斗机,InstanceOf,战斗机
Ki-96试作双发战斗机,InstanceOf,战斗机
Ki-94-2高高度战斗机,InstanceOf,战斗机
Ki-98试作战斗袭击机,InstanceOf,战斗机
Ki-108试作高高度战斗机,InstanceOf,战斗机
Ki-100/五式战斗机,InstanceOf,战斗机
Ki-102/四式战斗袭击机,InstanceOf,战斗机
Ki-109试作特殊防空战斗机,InstanceOf,战斗机
喷火战斗机（Spitfire）,InstanceOf,战斗机
P1Y2-S/极光夜间战斗机,InstanceOf,战斗机
13试双发陆上战斗机,InstanceOf,战斗机
Ki-10/95式战斗机,InstanceOf,战斗机
F4U 海盗式战斗机,InstanceOf,战斗机
雅克-28战斗机,InstanceOf,战斗机
雅克-15战斗机,InstanceOf,战斗机
“管鼻燕”式舰载战斗机,InstanceOf,战斗机
CR.32战斗机,InstanceOf,战斗机
狂怒(Hawker Fury)战斗机,InstanceOf,战斗机
Gamecock“斗鸡”式战斗机,InstanceOf,战斗机
CW-21战斗机,InstanceOf,战斗机
大鹏战斗机（Roc）,InstanceOf,战斗机
萤火虫舰载战斗机（Fairey  Firefly）,InstanceOf,战斗机
弯刀战斗机（Scimitar）,InstanceOf,战斗机
雅克-141战斗机,InstanceOf,战斗机
无畏式战斗机（Defiant）,InstanceOf,战斗机
苍穹(Westland Welkin)战斗机,InstanceOf,战斗机
B7A流星舰上攻击机,InstanceOf,战斗机
Gloster Meteor“流星”战斗机,InstanceOf,战斗机
蚋式（Folland Gnat）教练/战斗机,InstanceOf,战斗机
飓风战斗机（Hurricane),InstanceOf,战斗机
骆驼战斗机（Sopwith Camel）,InstanceOf,战斗机
德哈维兰大黄蜂（Hornet）战斗机,InstanceOf,战斗机
B-24“贼鸥”（Skua）式战斗轰炸机,InstanceOf,战斗机
鹰-75战斗机,InstanceOf,战斗机
英俊战士（Beaufighter）重型战斗机,InstanceOf,战斗机
暴风式(Tempest)战斗机,InstanceOf,战斗机
莽汉战斗机（Hotspur）,InstanceOf,战斗机
雅克-1战斗机,InstanceOf,战斗机
海怒战斗机（Hawker Sea Fury）,InstanceOf,战斗机
雅克-3战斗机,InstanceOf,战斗机
Bf 110铁面战斗机,InstanceOf,战斗机
雅克-7战斗机,InstanceOf,战斗机
雅克-17战斗机,InstanceOf,战斗机
Re.2000战斗机,InstanceOf,战斗机
雅克-23战斗机,InstanceOf,战斗机
雅克-9战斗机,InstanceOf,战斗机
伊-15战斗机,InstanceOf,战斗机
福克E．Ⅲ战斗机,InstanceOf,战斗机
Me 163战斗机,InstanceOf,战斗机
Dr.I战斗机,InstanceOf,战斗机
Me 410大黄蜂战斗机,InstanceOf,战斗机
福克D.VII战斗机,InstanceOf,战斗机
雅克-38战斗机,InstanceOf,战斗机
伊尔-10攻击机,InstanceOf,战斗机
Re.2002战斗机,InstanceOf,战斗机
米格-35战斗机 ,InstanceOf,战斗机
Re.2005战斗机,InstanceOf,战斗机
Me 209-II战斗机,InstanceOf,战斗机
AUT.18战斗机,InstanceOf,战斗机
米格-9,InstanceOf,战斗机
伊-16战斗机 ,InstanceOf,战斗机
米格-27/鞭挞者-D 战斗机,InstanceOf,战斗机
Re.2001战斗机,InstanceOf,战斗机
I-330/苏-1战斗机,InstanceOf,战斗机
CR.42-箭式战斗机,InstanceOf,战斗机
G.91战斗机,InstanceOf,战斗机
米格-3,InstanceOf,战斗机
G.50-箭式战斗机,InstanceOf,战斗机
G.55-人马座战斗机,InstanceOf,战斗机
米格-31战斗机,InstanceOf,战斗机
PZL P.1战斗机,InstanceOf,战斗机
He 162战斗机,InstanceOf,战斗机
PZL P.6战斗机,InstanceOf,战斗机
PWS-10战斗机,InstanceOf,战斗机
CR.32-箭式战斗机,InstanceOf,战斗机
Ba.27战斗机,InstanceOf,战斗机
MC.205-雷电战斗机,InstanceOf,战斗机
PZL P.7战斗机,InstanceOf,战斗机
米格-21战斗机,InstanceOf,战斗机
米格-15战斗机,InstanceOf,战斗机
PZL P.11战斗机,InstanceOf,战斗机
米格-23战斗机,InstanceOf,战斗机
I-153“海鸥”战斗机,InstanceOf,战斗机
MC.200-雷电战斗机,InstanceOf,战斗机
米格-17战斗机,InstanceOf,战斗机
苏-37战斗机,InstanceOf,战斗机
MC.202-雷电战斗机,InstanceOf,战斗机
米格-19战斗机,InstanceOf,战斗机
PZL P.24战斗机,InstanceOf,战斗机
拉格-3战斗机,InstanceOf,战斗机
La-9战斗机,InstanceOf,战斗机
苏-47金雕式战斗机,InstanceOf,战斗机
纽堡17战斗机,InstanceOf,战斗机
La-11战斗机,InstanceOf,战斗机
I-270战斗机,InstanceOf,战斗机
苏-17攻击机,InstanceOf,战斗机
苏-15战斗机,InstanceOf,战斗机
拉-5战斗机,InstanceOf,战斗机
拉-7战斗机,InstanceOf,战斗机
拉格-1战斗机,InstanceOf,战斗机
CL-1200/X-27枪骑兵,InstanceOf,战斗机
纽波特17战斗机,InstanceOf,战斗机
斯帕德VII战斗机,InstanceOf,战斗机
AMCA战斗机,InstanceOf,战斗机
F-20虎鲨战斗机,InstanceOf,战斗机
霍克II战斗机,InstanceOf,战斗机
F-15SE沉默鹰式战斗机,InstanceOf,战斗机
幻影4000战斗机,InstanceOf,战斗机
F-19战斗机,InstanceOf,战斗机
F-21幼狮战斗机,InstanceOf,战斗机
F2A水牛战斗机,InstanceOf,战斗机
KF-X战斗机,InstanceOf,战斗机
YF-17战斗机,InstanceOf,战斗机
XF-85小鬼式战斗机,InstanceOf,战斗机
YF-23战斗机,InstanceOf,战斗机
米格-1.44战斗机,InstanceOf,战斗机
P-43枪骑兵战斗机,InstanceOf,战斗机
XF-108轻剑战斗机,InstanceOf,战斗机
P-36战斗机,InstanceOf,战斗机
XF13C战斗机,InstanceOf,战斗机
JAS 39鹰狮战斗机,InstanceOf,战斗机
XF-103战斗机,InstanceOf,战斗机
F9C战斗机,InstanceOf,战斗机
P-26战斗机,InstanceOf,战斗机
F-CK-1经国号战斗机,InstanceOf,战斗机
F-15 S/MTD试验机,InstanceOf,战斗机
Saab-35龙战斗机,InstanceOf,战斗机
YF-12战斗机,InstanceOf,战斗机
里尔35,InstanceOf,战斗机
XF5F战斗机,InstanceOf,战斗机
IDF战斗机,InstanceOf,战斗机
X-35验证机,InstanceOf,战斗机
A4D和A/TA-4“天鹰”,InstanceOf,攻击机
超级军旗攻击机,InstanceOf,攻击机
A-5/RA-5“民团团员” 轰炸机/侦察机,InstanceOf,攻击机
英国航宇 FRS.51喷气式战斗攻击机,InstanceOf,攻击机
A-10“雷电II”,InstanceOf,攻击机
AM“拳师”攻击机,InstanceOf,攻击机
AJ/A-2“野人”,InstanceOf,攻击机
OV-10“野马” 空中前进控制机/近距离空中支援机,InstanceOf,攻击机
AU-24“公马”攻击机,InstanceOf,攻击机
AD/A-1“空中袭击者”,InstanceOf,攻击机
A-6“入侵者”攻击机,InstanceOf,攻击机
沃特(N-G)A-7“海盗Ⅱ”,InstanceOf,攻击机
AT-3高级教练/轻攻击机,InstanceOf,攻击机
G4M/一式陆上攻击机,InstanceOf,攻击机
B5M/97式2号舰上攻击机,InstanceOf,攻击机
13式舰上攻击机,InstanceOf,攻击机
 B5N/97式1号舰上攻击机,InstanceOf,攻击机
B7A流星舰上攻击机,InstanceOf,攻击机
夕号试作特殊攻击机,InstanceOf,攻击机
A-17/A-33,InstanceOf,攻击机
Hs 129攻击机,InstanceOf,攻击机
Ki-115甲剑特殊攻击机,InstanceOf,攻击机
M6A1 晴岚攻击机,InstanceOf,攻击机
神龙特殊攻击机,InstanceOf,攻击机
AV-8海鹞II式攻击机,InstanceOf,攻击机
JH-7/FBC-1/歼轰-7/飞豹,InstanceOf,攻击机
强-5/番摊（Fantan),InstanceOf,攻击机
美洲虎攻击机,InstanceOf,攻击机
苏-25攻击机,InstanceOf,攻击机
A-37蜻蜓式攻击机,InstanceOf,攻击机
伊尔-2攻击机,InstanceOf,攻击机
B-52H远程轰炸机,InstanceOf,轰炸机
波音B-29“超级空中堡垒”,InstanceOf,轰炸机
寇蒂斯H-12/16,InstanceOf,轰炸机
图-22M“逆火 MRA轰炸机和电子战飞机,InstanceOf,轰炸机
西飞轰-6中型轰炸机,InstanceOf,轰炸机
寇蒂斯R系列鱼雷轰炸机,InstanceOf,轰炸机
B/RB-47“同温层喷射”,InstanceOf,轰炸机
波音B-17单翼重型轰炸机,InstanceOf,轰炸机
SB2A“海盗”侦察轰炸机,InstanceOf,轰炸机
波音B-9单翼轰炸机,InstanceOf,轰炸机
图-95/图-142“熊” 远程轰炸机和海上侦察攻击机,InstanceOf,轰炸机
A3D/A-3“空中战士”,InstanceOf,轰炸机
B-2“幽灵” 战略轰炸机,InstanceOf,轰炸机
SB2C“地狱俯冲者”,InstanceOf,轰炸机
PB4Y-2“私掠船”,InstanceOf,轰炸机
F8F“熊猫”战斗轰炸机,InstanceOf,轰炸机
F/FB/EF-111战斗轰炸机,InstanceOf,轰炸机
B-57“堪培拉”,InstanceOf,轰炸机
TBY/TBU“海狼”,InstanceOf,轰炸机
B-32“统治者”,InstanceOf,轰炸机
“堪培拉” 轰炸机/入侵飞机/侦察机,InstanceOf,轰炸机
图-160“海盗旗” 远程轰炸机,InstanceOf,轰炸机
SBD“无畏式”,InstanceOf,轰炸机
B-45“龙卷风”,InstanceOf,轰炸机
PBM“水手”,InstanceOf,轰炸机
B-26/JM“劫掠者”,InstanceOf,轰炸机
A/B-26/JD“入侵者”,InstanceOf,轰炸机
A-20“浩劫”,InstanceOf,轰炸机
TBF/TBM“复仇者”,InstanceOf,轰炸机
B-34/37和PV“文图拉”/“捕鲸叉” ,InstanceOf,轰炸机
B-1B“枪骑兵”,InstanceOf,轰炸机
BTD “毁灭者”,InstanceOf,轰炸机
SBU,InstanceOf,轰炸机
B-24“解放者”,InstanceOf,轰炸机
B-25/PBJ“米切尔”,InstanceOf,轰炸机
B/KB-50“超级堡垒”,InstanceOf,轰炸机
B-36“和平卫士”,InstanceOf,轰炸机
B-10/12/14,InstanceOf,轰炸机
B-66“破坏者”,InstanceOf,轰炸机
SB2U“辩护者”,InstanceOf,轰炸机
MB-2/NBS-1,InstanceOf,轰炸机
B-23“龙”,InstanceOf,轰炸机
F-51D“野马”MK2 ,InstanceOf,轰炸机
马丁BM,InstanceOf,轰炸机
A-31/35“复仇者”,InstanceOf,轰炸机
凯斯通轻型轰炸机系列,InstanceOf,轰炸机
B-58“盗贼”,InstanceOf,轰炸机
诺思罗普BT,InstanceOf,轰炸机
Do 335箭式战斗机,InstanceOf,轰炸机
D4Y彗星舰载俯冲轰炸机,InstanceOf,轰炸机
Bf 162轰炸机,InstanceOf,轰炸机
Ar 234闪电式轰炸机,InstanceOf,轰炸机
G5N深山/13试陆基轰炸机,InstanceOf,轰炸机
He 115水上轰炸机,InstanceOf,轰炸机
Fi 167鱼雷轰炸机,InstanceOf,轰炸机
R.VI轰炸机,InstanceOf,轰炸机
Do 17轰炸机,InstanceOf,轰炸机
G3M/九六式陆上攻击机,InstanceOf,轰炸机
大湖BG-1,InstanceOf,轰炸机
Do 217轰炸机,InstanceOf,轰炸机
He 118俯冲轰炸机,InstanceOf,轰炸机
Ju 290轰炸机,InstanceOf,轰炸机
Hs 132轰炸机,InstanceOf,轰炸机
D1A九四/九六式俯冲轰炸机,InstanceOf,轰炸机
Ju 87斯图卡俯冲轰炸机,InstanceOf,轰炸机
He 111轰炸机,InstanceOf,轰炸机
Ju 188轰炸机,InstanceOf,轰炸机
Me 264轰炸机,InstanceOf,轰炸机
He 177鹰狮式轰炸机,InstanceOf,轰炸机
G8N连山重轰炸机,InstanceOf,轰炸机
Ju 88轰炸机,InstanceOf,轰炸机
Ju 89轰炸机,InstanceOf,轰炸机
G10N富士山轰炸机,InstanceOf,轰炸机
D3A“99”式舰载俯冲轰炸机,InstanceOf,轰炸机
Ki-66试作急降下爆撃机,InstanceOf,轰炸机
Ki-67飞龙/四式重爆撃机 ,InstanceOf,轰炸机
Ki-48/99式双发轻爆击机,InstanceOf,轰炸机
Ki-77长距离研究机 ,InstanceOf,轰炸机
P1Y 银河轰炸机,InstanceOf,轰炸机
Ki-21/97式重爆击机,InstanceOf,轰炸机
Ki-51/九九式袭撃机,InstanceOf,轰炸机
乌拉尔轰炸机,InstanceOf,轰炸机
B6N天山舰上攻击机,InstanceOf,轰炸机
Ki-91试作远距离爆撃机,InstanceOf,轰炸机
Ki-30/97式俯冲轰炸机,InstanceOf,轰炸机
A-16俯冲轰炸机,InstanceOf,轰炸机
Ki-32/98式俯冲轰炸机,InstanceOf,轰炸机
DH98蚊式（Mosquito）轰炸机,InstanceOf,轰炸机
巴特尔（Fairey Battle）轰炸机,InstanceOf,轰炸机
阿米奥-143（Amiot-143）轰炸机,InstanceOf,轰炸机
阿米奥-354(Amiot-354)轰炸机,InstanceOf,轰炸机
阿米奥-340（Amiot-340）轰炸机,InstanceOf,轰炸机
A-12俯冲轰炸机,InstanceOf,轰炸机
BF2C单发单座双翼战斗机,InstanceOf,轰炸机
哈利法克斯轰炸机,InstanceOf,轰炸机
TSR-2轰炸机,InstanceOf,轰炸机
布里斯托“波弗特”式鱼雷轰炸机,InstanceOf,轰炸机
“火神”轰炸机,InstanceOf,轰炸机
梭鱼式(Barracuda)鱼雷轰炸机,InstanceOf,轰炸机
阿佛罗兰卡斯特重型轰炸机,InstanceOf,轰炸机
维克斯威灵顿式中型轰炸机,InstanceOf,轰炸机
肖特斯特林（Short Stirling）轰炸机,InstanceOf,轰炸机
曼彻斯特（Manchester）轰炸机,InstanceOf,轰炸机
强-6,InstanceOf,轰炸机
F-107终极佩刀战斗机,InstanceOf,轰炸机
“胜利者”中程战略轰略机,InstanceOf,轰炸机
剑鱼式鱼雷轰炸机（Swordfish）,InstanceOf,轰炸机
“布伦海姆”轻型轰炸机,InstanceOf,轰炸机
雅克-2 轰炸机,InstanceOf,轰炸机
PZL.38轰炸机,InstanceOf,轰炸机
PZL.37轰炸机,InstanceOf,轰炸机
Ca.3 轰炸机,InstanceOf,轰炸机
Ca.4轰炸机,InstanceOf,轰炸机
BR.20轰炸机,InstanceOf,轰炸机
雅克-6双引擎多用途飞机,InstanceOf,轰炸机
Ca.90轰炸机,InstanceOf,轰炸机
PZL.23轰炸机,InstanceOf,轰炸机
PWS-19轰炸机,InstanceOf,轰炸机
PZL.30轰炸机,InstanceOf,轰炸机
CANT Z.1007-翠鸟轰炸机,InstanceOf,轰炸机
M-50野蛮人轰炸机,InstanceOf,轰炸机
佩-2轻轰炸机,InstanceOf,轰炸机
PZL.43轰炸机,InstanceOf,轰炸机
图-4公牛轰炸机,InstanceOf,轰炸机
幻影IV轰炸机,InstanceOf,轰炸机
雅克-4 型侦察/轰炸机,InstanceOf,轰炸机
阿米奥-350轰炸机,InstanceOf,轰炸机
图-2/ANT-50轰炸机,InstanceOf,轰炸机
苏-34/鸭嘴兽战斗轰炸机,InstanceOf,轰炸机
PZL.46轰炸机,InstanceOf,轰炸机
Pe-8/TB-7重型轰炸机,InstanceOf,轰炸机
图-119轰炸机,InstanceOf,轰炸机
伊尔-28战术轰炸机,InstanceOf,轰炸机
水轰-5水上反潜轰炸机,InstanceOf,轰炸机
B-18轰炸机,InstanceOf,轰炸机
轰-5轰炸机,InstanceOf,轰炸机
K-7巨型轰炸机,InstanceOf,轰炸机
苏-7/装配匠-A战斗轰炸机,InstanceOf,轰炸机
SB轰炸机,InstanceOf,轰炸机
伊尔-4/Il-4/DB-3轰炸机,InstanceOf,轰炸机
SBC俯冲轰炸机,InstanceOf,轰炸机
XB-70瓦尔基里轰炸机,InstanceOf,轰炸机
B-1枪骑兵轰炸机,InstanceOf,轰炸机
T-1A“苍鹰”,InstanceOf,教练机
N-9教练机,InstanceOf,教练机
40F双座水上教练机,InstanceOf,教练机
教练-8/K-8“喀喇昆仑山”,InstanceOf,教练机
比奇T-34“导师”教练机,InstanceOf,教练机
T-34C“涡轮导师”,InstanceOf,教练机
“F飞船”,InstanceOf,教练机
波音C型,InstanceOf,教练机
PT/NS“西点军校生”双翼教练机,InstanceOf,教练机
比奇T-42“科奇斯”,InstanceOf,教练机
39-A双翼飞机,InstanceOf,教练机
A-1“推进者”,InstanceOf,教练机
SOKO G-4“超海鸥” 喷气式武装教练机,InstanceOf,教练机
北美T-28 “特洛伊人/游牧民”,InstanceOf,教练机
NB-1双座双翼初级教练机,InstanceOf,教练机
T2V/T-1“海星”,InstanceOf,教练机
T67 “萤火虫”基础教练机,InstanceOf,教练机
T-45“苍鹰”中级/高级喷气教练机,InstanceOf,教练机
雅克-130 高级教练机,InstanceOf,教练机
初教-6A基础教练机,InstanceOf,教练机
JN-4“詹尼”,InstanceOf,教练机
T-33/TV-2 ,InstanceOf,教练机
EMB-312 “巨嘴鸟”教练机,InstanceOf,教练机
米格-AT 高级教练机,InstanceOf,教练机
PQ-14/TD2C-1,InstanceOf,教练机
T-2“橡树” 教练机,InstanceOf,教练机
T-6A“德克萨斯人II”,InstanceOf,教练机
A-8/PQ-8/TOC-2,InstanceOf,教练机
T-38“禽爪” 高级教练机,InstanceOf,教练机
T-47/UC-35“奖状”,InstanceOf,教练机
BC/AT-6/SNJ“德克萨斯人”,InstanceOf,教练机
AT-9,InstanceOf,教练机
T-41“梅斯卡勒罗人”,InstanceOf,教练机
T-39 “佩刀客”,InstanceOf,教练机
AT-21“机枪手”,InstanceOf,教练机
AT-8/17/UC-78“短尾猫”,InstanceOf,教练机
VE-7/9教练机,InstanceOf,教练机
T/CT-43和T-40“快船”,InstanceOf,教练机
BT-13/15和SNV-1/2“勇士”,InstanceOf,教练机
P2M/P3M,InstanceOf,教练机
NP,InstanceOf,教练机
T-37“鸣叫”和A/QA-37“龙蝇” ,InstanceOf,教练机
PT-16/20/21/22和NR-1“补充兵”,InstanceOf,教练机
BT-9/14和NJ-1,InstanceOf,教练机
沃多霍迪L-39/L-139/L-59/L-159高级喷气教练机和轻型攻击机,InstanceOf,教练机
海军飞机制造厂N3N ,InstanceOf,教练机
PT-19/23/26“康奈尔”,InstanceOf,教练机
N2T“导师”,InstanceOf,教练机
歼教-7型,InstanceOf,教练机
Q-5J强击教练机,InstanceOf,教练机
歼教1教练机,InstanceOf,教练机
歼教-2,InstanceOf,教练机
轰教5教练机,InstanceOf,教练机
初教-6,InstanceOf,教练机
轰运教7,InstanceOf,教练机
教-8（K-8）教练机,InstanceOf,教练机
歼教5,InstanceOf,教练机
教练-11（K-8）,InstanceOf,教练机
初教-5,InstanceOf,教练机
运教5,InstanceOf,教练机
萨博105(Sk 60)基础/高级喷气教练机/轻型攻击机和侦察机,InstanceOf,教练机
PC-9“高级涡轮教练”涡轮螺旋桨高级教练机,InstanceOf,教练机
TB-30 Epsilon基础教练机,InstanceOf,教练机
T-6“德克萨斯人”Ⅱ高级涡轮螺旋桨教练机,InstanceOf,教练机
PC-21涡轮螺旋桨高级教练机,InstanceOf,教练机
